,Team,Salary,Player,Position,Season,Percentile
4421,Detroit Pistons,500000.0,Tony Mitchell, PF,2013-2014,0.103896104
4422,Houston Rockets,490180.0,Robert Covington, SF,2013-2014,0.10129870099999999
4423,Memphis Grizzlies,490180.0,Nick Calathes, SG,2013-2014,0.098701299
4425,Philadelphia 76ers,490180.0,Brandon Davies, PF,2013-2014,0.09350649400000001
4426,Charlotte Bobcats,490180.0,James Southerland, SF,2013-2014,0.090909091
4427,Los Angeles Lakers,490180.0,Ryan Kelly, PF,2013-2014,0.08831168800000001
4428,Phoenix Suns,490180.0,Dionte Christmas, SG,2013-2014,0.085714286
4436,Philadelphia 76ers,300000.0,Dewayne Dedmon, C,2013-2014,0.064935065
4444,Atlanta Hawks,138404.0,Mike Muscala, PF,2013-2014,0.04415584400000001
4447,Charlotte Bobcats,98036.0,Justin Hamilton, C,2013-2014,0.036363636
4448,Boston Celtics,77852.0,Chris Babb, SG,2013-2014,0.033766234
4452,Brooklyn Nets,54785.0,Jorge Gutierrez, PG,2013-2014,0.023376623
4458,Houston Rockets,15605.0,Greg Smith, PF,2013-2014,0.007792208
4552,Phoenix Suns,5700000.0,PJ Tucker, SF,2014-2015,0.790804598
4556,Minnesota Timberwolves,5510640.0,Andrew Wiggins, SF,2014-2015,0.781609195
4566,Phoenix Suns,7238606.0,Isaiah Thomas, PG,2014-2015,0.75862069
4594,Milwaukee Bucks,4930560.0,Jabari Parker, PF,2014-2015,0.694252874
4609,Philadelphia 76ers,4427640.0,Joel Embiid, C,2014-2015,0.659770115
4621,Orlando Magic,3992040.0,Aaron Gordon, PF,2014-2015,0.632183908
4642,Atlanta Hawks,3333333.0,Mike Scott, PF,2014-2015,0.583908046
4647,Boston Celtics,3283320.0,Marcus Smart, PG,2014-2015,0.572413793
4668,Los Angeles Lakers,2997360.0,Julius Randle, PF,2014-2015,0.5241379310000001
4679,Sacramento Kings,2745840.0,Nik Stauskas, SG,2014-2015,0.498850575
4687,Charlotte Hornets,2524200.0,Noah Vonleh, PF,2014-2015,0.48045977
4693,Orlando Magic,2397840.0,Elfrid Payton, PG,2014-2015,0.46666666700000003
4697,Chicago Bulls,2277960.0,Doug McDermott, SF,2014-2015,0.457471264
4724,Minnesota Timberwolves,1855320.0,Adreian Payne, PF,2014-2015,0.395402299
4736,Boston Celtics,1674480.0,James Young, G,2014-2015,0.36781609200000004
4741,Phoenix Suns,1590720.0,Tyler Ennis, G,2014-2015,0.356321839
4744,Denver Nuggets,1519200.0,Gary Harris, SG,2014-2015,0.34942528700000003
4757,Oklahoma City Thunder,1400040.0,Mitch McGary, PF,2014-2015,0.31954023
4760,Memphis Grizzlies,1344120.0,Jordan Adams, SG,2014-2015,0.312643678
4766,Utah Jazz,1290360.0,Rodney Hood, SG,2014-2015,0.298850575
4771,Miami Heat,1238640.0,Shabazz Napier, PG,2014-2015,0.287356322
4780,Charlotte Hornets,1149720.0,P.J. Hairston, SF,2014-2015,0.26666666699999997
4790,LA Clippers,1109760.0,CJ Wilcox, G,2014-2015,0.243678161
4793,San Antonio Spurs,1093680.0,Kyle Anderson, SF,2014-2015,0.23678160899999998
4817,Orlando Magic,884879.0,Devyn Marble, SF,2014-2015,0.181609195
4818,Philadelphia 76ers,884879.0,Jerami Grant, SF,2014-2015,0.179310345
4819,Cleveland Cavaliers,884879.0,Joe Harris, SF,2014-2015,0.177011494
4820,Minnesota Timberwolves,880000.0,Robbie Hummel, SF,2014-2015,0.17471264399999997
4826,Melbourne United,816482.0,Casper Ware, G,2014-2015,0.16091954
4838,Memphis Grizzlies,725000.0,Jarnell Stokes, F,2014-2015,0.133333333
4841,Brooklyn Nets,702756.0,Darius Morris, G,2014-2015,0.126436782
4844,New Orleans Pelicans,633974.0,Gal Mekel, PG,2014-2015,0.11954023
4845,Milwaukee Bucks,600000.0,Johnny O'Bryant III, PF,2014-2015,0.117241379
4846,Brooklyn Nets,507336.0,Cory Jefferson, F,2014-2015,0.114942529
4847,Orlando Magic,507336.0,Keith Appling, PG,2014-2015,0.11264367800000001
4848,Utah Jazz,507336.0,Eric Griffin, C,2014-2015,0.110344828
4850,Memphis Grizzlies,507336.0,Russ Smith, PG,2014-2015,0.105747126
4851,Sacramento Kings,507336.0,Eric Moreland, C,2014-2015,0.10344827599999999
4852,Sacramento Kings,507336.0,Sim Bhullar, C,2014-2015,0.101149425
4855,New Orleans Pelicans,507336.0,Patric Young, PF,2014-2015,0.094252874
4856,Cleveland Cavaliers,495399.0,Will Cherry, F,2014-2015,0.09195402300000001
4857,Memphis Grizzlies,486446.0,Kalin Lucas, G,2014-2015,0.08965517199999999
4858,Philadelphia 76ers,468540.0,Drew Gordon, C,2014-2015,0.08735632199999999
4863,Utah Jazz,379010.0,Patrick Christopher, SG,2014-2015,0.075862069
4864,Toronto Raptors,373041.0,Ronald Roberts Jr., PF,2014-2015,0.073563218
4867,Minnesota Timberwolves,283367.0,Lorenzo Brown, PG,2014-2015,0.066666667
4870,Utah Jazz,241731.0,Elijah Millsap, SG,2014-2015,0.059770115
4871,Dallas Mavericks,236886.0,Bernard James, C,2014-2015,0.057471264
4872,New York Knicks,235762.0,Langston Galloway, SG,2014-2015,0.055172414
4873,Miami Heat,199950.0,Tyler Johnson, SG,2014-2015,0.052873563
4878,Golden State Warriors,167122.0,James Michael McAdoo, SF,2014-2015,0.04137931
4880,Memphis Grizzlies,134295.0,JaMychal Green, PF,2014-2015,0.036781609
4885,Washington Wizards,96056.0,Toure' Murry, SF,2014-2015,0.025287356
4886,Utah Jazz,92514.0,Bryce Cotton, G,2014-2015,0.022988506000000002
4887,Los Angeles Lakers,59686.0,Jabari Brown, SG,2014-2015,0.020689655
4888,Utah Jazz,59686.0,Jack Cooley, F,2014-2015,0.018390805
4889,Portland Trail Blazers,59686.0,Tim Frazier, PG,2014-2015,0.016091954
4891,Phoenix Suns,53838.0,A.J. Price, PG,2014-2015,0.011494253000000001
4893,Phoenix Suns,48028.0,Seth Curry, SG,2014-2015,0.006896551999999999
4895,Miami Heat,29843.0,Andre Dawkins, SG,2014-2015,0.002298851
4896,Sacramento Kings,29483.0,David Stockton, G,2014-2015,0.0
4994,Minnesota Timberwolves,5703600.0,Karl-Anthony Towns, C,2015-2016,0.773672055
5031,Los Angeles Lakers,5103120.0,D'Angelo Russell, PG,2015-2016,0.688221709
5043,Philadelphia 76ers,4582680.0,Jahlil Okafor, C,2015-2016,0.660508083
5072,New York Knicks,3750000.0,Kyle O'Quinn, C,2015-2016,0.5935334870000001
5082,Sacramento Kings,3398280.0,Willie Cauley-Stein, C,2015-2016,0.5704387989999999
5089,Houston Rockets,3189794.0,KJ McDaniels, F,2015-2016,0.554272517
5111,Detroit Pistons,2841960.0,Stanley Johnson, SF,2015-2016,0.5034642029999999
5122,Charlotte Hornets,2612520.0,Frank Kaminsky, PF,2015-2016,0.478060046
5129,Miami Heat,2481720.0,Justise Winslow, SF,2015-2016,0.461893764
5134,Indiana Pacers,2357760.0,Myles Turner, C,2015-2016,0.45034642
5139,Utah Jazz,2239800.0,Trey Lyles, PF,2015-2016,0.438799076
5157,Oklahoma City Thunder,2021520.0,Cameron Payne, PG,2015-2016,0.39722863700000005
5166,Boston Celtics,1824360.0,Terry Rozier, PG,2015-2016,0.376443418
5174,Houston Rockets,1646400.0,Sam Dekker, SF,2015-2016,0.35796766700000004
5179,New York Knicks,1572360.0,Jerian Grant, PG,2015-2016,0.346420323
5182,Toronto Raptors,1509360.0,Delon Wright, PG,2015-2016,0.33949191700000003
5189,Dallas Mavericks,1449000.0,Justin Anderson, SG,2015-2016,0.323325635
5192,Chicago Bulls,1391160.0,Bobby Portis, PF,2015-2016,0.316397229
5196,Brooklyn Nets,1335480.0,Rondae Hollis-Jefferson, SF,2015-2016,0.307159353
5201,Minnesota Timberwolves,1282080.0,Tyus Jones, PG,2015-2016,0.295612009
5202,Cleveland Cavaliers,1276000.0,Sasha Kaun, C,2015-2016,0.29330254
5207,Memphis Grizzlies,1230840.0,Jarell Martin, PF,2015-2016,0.28175519600000004
5214,Boston Celtics,1170960.0,Jordan Mickey, F,2015-2016,0.265588915
5218,Los Angeles Lakers,1155600.0,Larry Nance Jr., PF,2015-2016,0.256351039
5222,Cleveland Cavaliers,1147276.0,Matthew Dellavedova, PG,2015-2016,0.247113164
5224,Oklahoma City Thunder,1140240.0,Josh Huestis, F,2015-2016,0.242494226
5226,Golden State Warriors,1131960.0,Kevon Looney, SF,2015-2016,0.237875289
5232,Indiana Pacers,1100000.0,Glenn Robinson III, SG,2015-2016,0.22401847600000002
5233,Philadelphia 76ers,1074169.0,Richaun Holmes, PF,2015-2016,0.22170900699999999
5238,Indiana Pacers,1007026.0,Rakeem Christmas, PF,2015-2016,0.210161663
5239,Indiana Pacers,1007026.0,Joe Young, G,2015-2016,0.207852194
5242,Houston Rockets,1000000.0,Montrezl Harrell, PF,2015-2016,0.20092378800000002
5281,Los Angeles Lakers,700000.0,Anthony Brown, F,2015-2016,0.11085450300000001
5282,Toronto Raptors,650000.0,Norman Powell, SF,2015-2016,0.108545035
5283,Portland Trail Blazers,625093.0,Pat Connaughton, SG,2015-2016,0.10623556599999999
5284,Detroit Pistons,600000.0,Darrun Hilliard, G,2015-2016,0.103926097
5285,Washington Wizards,561716.0,Jarell Eddie, F,2015-2016,0.10161662800000001
5286,Phoenix Suns,525093.0,Deonte Burton, PG,2015-2016,0.099307159
5287,Phoenix Suns,525093.0,Kyle Casey, SF,2015-2016,0.096997691
5288,Philadelphia 76ers,525093.0,T.J. McConnell, PG,2015-2016,0.09468822199999999
5289,Philadelphia 76ers,525093.0,Scottie Wilbekin, PG,2015-2016,0.09237875300000001
5290,Utah Jazz,525093.0,J.J. O'Brien, SF,2015-2016,0.090069284
5291,Brooklyn Nets,525093.0,Treveon Graham, SG,2015-2016,0.087759815
5292,Orlando Magic,525093.0,Melvin Ejim, SF,2015-2016,0.085450346
5293,LA Clippers,525093.0,Branden Dawson, SF,2015-2016,0.083140878
5295,Memphis Grizzlies,525093.0,Jarrid Famous, PF,2015-2016,0.07852194
5296,Los Angeles Lakers,525093.0,Jamil Wilson, SF,2015-2016,0.07621247099999999
5299,Atlanta Hawks,525093.0,Lamar Patterson, SG,2015-2016,0.069284065
5314,Houston Rockets,200600.0,Andrew Goudelock, PG,2015-2016,0.034642032
5318,Brooklyn Nets,134215.0,Sean Kilpatrick, G,2015-2016,0.025404157000000004
5321,Phoenix Suns,111196.0,Jordan McRae, SG,2015-2016,0.018475751000000002
5322,Utah Jazz,99418.0,Erick Green, PG,2015-2016,0.016166282
5323,Phoenix Suns,83397.0,Alan Williams, PF,2015-2016,0.013856813
5327,Phoenix Suns,55722.0,Phil Pressey, PG,2015-2016,0.0046189379999999995
5396,Los Angeles Lakers,12500000.0,Jordan Clarkson, PG,2016-2017,0.854978355
5421,Dallas Mavericks,8375000.0,Dwight Powell, PF,2016-2017,0.8008658009999999
5475,Los Angeles Lakers,6191000.0,Tarik Black, C,2016-2017,0.6839826840000001
5485,Philadelphia 76ers,5903160.0,Ben Simmons, PG,2016-2017,0.662337662
5500,Los Angeles Lakers,5281680.0,Brandon Ingram, SF,2016-2017,0.62987013
5535,Minnesota Timberwolves,3872520.0,Kris Dunn, PG,2016-2017,0.554112554
5548,Sacramento Kings,3517200.0,Buddy Hield, SG,2016-2017,0.525974026
5559,Denver Nuggets,3210840.0,Jamal Murray, PG,2016-2017,0.5021645020000001
5570,Phoenix Suns,2941440.0,Marquese Chriss, PF,2016-2017,0.478354978
5579,Toronto Raptors,2703960.0,Jakob Poeltl, C,2016-2017,0.458874459
5585,Atlanta Hawks,2500000.0,Malcolm Delaney, G,2016-2017,0.445887446
5588,Oklahoma City Thunder,2440200.0,Domantas Sabonis, PF,2016-2017,0.439393939
5595,Atlanta Hawks,2318280.0,Taurean Prince, SF,2016-2017,0.424242424
5608,Chicago Bulls,2092200.0,Denzel Valentine, SG,2016-2017,0.396103896
5620,Memphis Grizzlies,1793760.0,Wade Baldwin IV, PG,2016-2017,0.37012987
5625,Detroit Pistons,1704120.0,Henry Ellenson, PF,2016-2017,0.359307359
5628,Denver Nuggets,1627320.0,Malik Beasley, SG,2016-2017,0.35281385299999996
5631,Brooklyn Nets,1562280.0,Caris LeVert, SG,2016-2017,0.346320346
5637,Atlanta Hawks,1499760.0,DeAndre' Bembry, SF,2016-2017,0.333333333
5640,Boston Celtics,1450000.0,Demetrius Jackson, PG,2016-2017,0.32683982699999997
5641,Sacramento Kings,1439800.0,Malachi Richardson, SG,2016-2017,0.324675325
5647,Memphis Grizzlies,1369299.0,Deyonta Davis, C,2016-2017,0.31168831199999997
5657,LA Clippers,1273920.0,Brice Johnson, PF,2016-2017,0.29004329
5663,Toronto Raptors,1196040.0,Pascal Siakam, PF,2016-2017,0.277056277
5668,Sacramento Kings,1188840.0,Skal Labissiere, PF,2016-2017,0.26623376600000004
5670,San Antonio Spurs,1180080.0,Dejounte Murray, PG,2016-2017,0.261904762
5671,Golden State Warriors,1171560.0,Damian Jones, C,2016-2017,0.25974026
5672,Brooklyn Nets,1074145.0,Isaiah Whitehead, G,2016-2017,0.257575758
5687,Miami Heat,1015696.0,Willie Reed, C,2016-2017,0.225108225
5701,Orlando Magic,950000.0,Stephen Zimmerman, C,2016-2017,0.194805195
5702,Memphis Grizzlies,945000.0,Andrew Harrison, G,2016-2017,0.192640693
5704,Milwaukee Bucks,925000.0,Malcolm Brogdon, PG,2016-2017,0.188311688
5705,Phoenix Suns,918369.0,Tyler Ulis, G,2016-2017,0.18614718600000002
5707,Milwaukee Bucks,874636.0,Xavier Munford, G,2016-2017,0.181818182
5708,Charlotte Hornets,874636.0,Christian Wood, PF,2016-2017,0.17965368
5712,Memphis Grizzlies,874636.0,DJ Stephens, SG,2016-2017,0.17099567100000002
5723,Dallas Mavericks,650000.0,AJ Hammons, C,2016-2017,0.147186147
5724,Indiana Pacers,650000.0,Georges Niang, SF,2016-2017,0.145021645
5725,Detroit Pistons,650000.0,Michael Gbinije, SG,2016-2017,0.14285714300000002
5726,Portland Trail Blazers,600000.0,Jake Layman, SF,2016-2017,0.140692641
5727,Utah Jazz,600000.0,Joel Bolomboy, PF,2016-2017,0.138528139
5729,Toronto Raptors,543471.0,E.J. Singler, SF,2016-2017,0.134199134
5730,Toronto Raptors,543471.0,Drew Crawford, SG,2016-2017,0.13203463199999999
5731,Cleveland Cavaliers,543471.0,Kay Felder, G,2016-2017,0.12987013
5732,Toronto Raptors,543471.0,Fred VanVleet, PG,2016-2017,0.12770562800000002
5733,Toronto Raptors,543471.0,Yanick Moreira, C,2016-2017,0.125541126
5734,Houston Rockets,543471.0,Kyle Wiltjer, F,2016-2017,0.123376623
5735,Toronto Raptors,543471.0,Kyle Collinsworth, G,2016-2017,0.12121212099999999
5736,Toronto Raptors,543471.0,Brady Heslip, SG,2016-2017,0.11904761900000001
5737,Memphis Grizzlies,543471.0,Vince Hunter, SF,2016-2017,0.116883117
5738,Charlotte Hornets,543471.0,Andrew Andrews, G,2016-2017,0.114718615
5739,Charlotte Hornets,543471.0,Marcus Paige, G,2016-2017,0.11255411300000001
5740,Charlotte Hornets,543471.0,Rasheed Sulaimon, G,2016-2017,0.11038961
5741,Utah Jazz,543471.0,Isaiah Cousins, G,2016-2017,0.10822510800000001
5742,New Orleans Pelicans,543471.0,Quincy Ford, SG,2016-2017,0.106060606
5743,Indiana Pacers,543471.0,Nick Zeisloft, SG,2016-2017,0.103896104
5746,Washington Wizards,543471.0,Sheldon Mac, SG,2016-2017,0.097402597
5747,Dallas Mavericks,469943.0,Jonathan Gibson, G,2016-2017,0.095238095
5753,Houston Rockets,255000.0,Isaiah Taylor, G,2016-2017,0.082251082
5759,Miami Heat,210995.0,Okaro White, F,2016-2017,0.069264069
5760,Brooklyn Nets,207798.0,Yogi Ferrell, PG,2016-2017,0.067099567
5764,Philadelphia 76ers,143860.0,Chasson Randle, PG,2016-2017,0.058441558
5766,Charlotte Hornets,128623.0,Briante Weber, G,2016-2017,0.05411255400000001
5771,Philadelphia 76ers,89513.0,Shawn Long, F,2016-2017,0.043290043
5772,Memphis Grizzlies,83119.0,Wayne Selden, SG,2016-2017,0.041125541
5773,Memphis Grizzlies,76725.0,Troy Williams, SF,2016-2017,0.038961038999999996
5776,Charlotte Hornets,67135.0,Mike Tobey, C,2016-2017,0.032467532
5782,Dallas Mavericks,47953.0,Jarrod Uthoff, SF,2016-2017,0.019480518999999998
5783,Philadelphia 76ers,35166.0,Alex Poythress, SF,2016-2017,0.017316017
5784,Milwaukee Bucks,35116.0,Gary Payton II, G,2016-2017,0.015151515
5785,Dallas Mavericks,31969.0,Pierre Jackson, PG,2016-2017,0.012987013
5786,Orlando Magic,31969.0,Patricio Garino, SG,2016-2017,0.010822511000000002
5787,Orlando Magic,31969.0,Marcus Georges-Hunt, F,2016-2017,0.008658009
5789,Dallas Mavericks,15984.0,Quinn Cook, PG,2016-2017,0.004329004
5914,Miami Heat,9367200.0,Josh Richardson, SG,2017-2018,0.734341253
5926,Philadelphia 76ers,8339880.0,Markelle Fultz, PG,2017-2018,0.7084233259999999
5959,Los Angeles Lakers,6286560.0,Lonzo Ball, PG,2017-2018,0.637149028
5971,Boston Celtics,5645400.0,Jayson Tatum, SF,2017-2018,0.6112311020000001
5981,Phoenix Suns,5090040.0,Josh Jackson, SF,2017-2018,0.589632829
5986,Orlando Magic,4969080.0,Jonathan Isaac, PF,2017-2018,0.578833693
5991,Sacramento Kings,4609200.0,De'Aaron Fox, PG,2017-2018,0.568034557
5992,New York Knicks,4544000.0,Ron Baker, SG,2017-2018,0.56587473
5993,Chicago Bulls,4536120.0,Lauri Markkanen, PF,2017-2018,0.5637149029999999
6023,Charlotte Hornets,3447480.0,Malik Monk, SG,2017-2018,0.49892008600000004
6033,Detroit Pistons,3275280.0,Luke Kennard, SG,2017-2018,0.477321814
6035,Dallas Mavericks,3218280.0,Dennis Smith Jr., PG,2017-2018,0.47300216
6040,Portland Trail Blazers,3057240.0,Zach Collins, PF,2017-2018,0.46220302399999996
6046,Miami Heat,2955840.0,Bam Adebayo, C,2017-2018,0.44924406
6053,Utah Jazz,2621280.0,Donovan Mitchell, SG,2017-2018,0.43412527
6056,Milwaukee Bucks,2534280.0,D.J. Wilson, PF,2017-2018,0.42764578799999997
6067,Indiana Pacers,2407560.0,T.J. Leaf, PF,2017-2018,0.403887689
6068,Sacramento Kings,2365560.0,Justin Jackson, SF,2017-2018,0.40172786200000005
6072,Atlanta Hawks,2299080.0,John Collins, PF,2017-2018,0.39308855299999995
6075,Minnesota Timberwolves,2247480.0,Justin Patton, C,2017-2018,0.386609071
6080,New Orleans Pelicans,2100000.0,Darius Miller, SF,2017-2018,0.375809935
6084,Toronto Raptors,2034120.0,OG Anunoby, SF,2017-2018,0.367170626
6085,Brooklyn Nets,2034120.0,Jarrett Allen, C,2017-2018,0.365010799
6100,Charlotte Hornets,1656092.0,Julyan Stone, G,2017-2018,0.33261339100000004
6104,Denver Nuggets,1579440.0,Tyler Lydon, PF,2017-2018,0.323974082
6107,Dallas Mavericks,1577230.0,Jeff Withey, C,2017-2018,0.3174946
6130,Portland Trail Blazers,1465920.0,Caleb Swanigan, PF,2017-2018,0.267818575
6133,Los Angeles Lakers,1423560.0,Kyle Kuzma, PF,2017-2018,0.261339093
6135,San Antonio Spurs,1404600.0,Derrick White, PG,2017-2018,0.257019438
6136,Los Angeles Lakers,1394520.0,Josh Hart, SG,2017-2018,0.25485961100000004
6139,Orlando Magic,1378242.0,Khem Birch, C,2017-2018,0.24838013
6141,Milwaukee Bucks,1378242.0,Sterling Brown, SG,2017-2018,0.244060475
6142,Charlotte Hornets,1378242.0,Dwayne Bacon, SG,2017-2018,0.241900648
6143,New York Knicks,1378242.0,Damyean Dotson, SG,2017-2018,0.23974082100000002
6144,Orlando Magic,1378242.0,Rodney Purvis, G,2017-2018,0.237580994
6146,Atlanta Hawks,1378242.0,Tyler Dorsey, SG,2017-2018,0.23326133899999998
6157,Washington Wizards,1312611.0,Daniel Ochefu, PF,2017-2018,0.20950324
6162,Boston Celtics,1291892.0,Semi Ojeleye, PF,2017-2018,0.198704104
6164,Sacramento Kings,1184385.0,Frank Mason III, PG,2017-2018,0.194384449
6165,Boston Celtics,1167333.0,Abdel Nader, SF,2017-2018,0.19222462199999998
6175,Orlando Magic,980431.0,Arinze Onuaku, PF,2017-2018,0.17062635
6184,Memphis Grizzlies,950000.0,Ivan Rabb, PF,2017-2018,0.151187905
6190,San Antonio Spurs,874636.0,Nick Johnson, G,2017-2018,0.138228942
6193,Miami Heat,874636.0,Keith Benson, PF,2017-2018,0.13174946
6196,Memphis Grizzlies,815615.0,Xavier Rathan-Mayes, SG,2017-2018,0.125269978
6197,Memphis Grizzlies,815615.0,Dillon Brooks, SG,2017-2018,0.123110151
6199,Milwaukee Bucks,815615.0,JeQuan Lewis, PG,2017-2018,0.118790497
6200,Minnesota Timberwolves,815615.0,Melo Trimble, PG,2017-2018,0.11663067
6201,Oklahoma City Thunder,815615.0,Rashawn Thomas, PF,2017-2018,0.11447084199999999
6202,Oklahoma City Thunder,815615.0,Bryce Alford, G,2017-2018,0.112311015
6203,Charlotte Hornets,815615.0,Luke Petrasek, SF,2017-2018,0.11015118800000001
6204,Charlotte Hornets,815615.0,T.J. Williams, PG,2017-2018,0.107991361
6205,Charlotte Hornets,815615.0,Terry Henderson, SG,2017-2018,0.105831533
6206,Utah Jazz,815615.0,Erik McCree, F,2017-2018,0.103671706
6207,Utah Jazz,815615.0,Royce O'Neale, SF,2017-2018,0.101511879
6209,Boston Celtics,815615.0,L.J. Peak, SG,2017-2018,0.097192225
6210,Atlanta Hawks,815615.0,Jordan Mathews, SG,2017-2018,0.09503239699999999
6211,Atlanta Hawks,679919.0,Tyler Cavanaugh, PF,2017-2018,0.09287257
6214,Golden State Warriors,543471.0,Elgin Cook, SF,2017-2018,0.086393089
6215,Golden State Warriors,543471.0,Scott Wood, SG,2017-2018,0.08423326099999999
6216,Golden State Warriors,543471.0,Cameron Jones, SG,2017-2018,0.082073434
6223,New York Knicks,543471.0,J.P. Tokoto, SG,2017-2018,0.06695464400000001
6225,Detroit Pistons,543471.0,Trey Freeman, PG,2017-2018,0.062634989
6236,Phoenix Suns,175000.0,Shaquille Harrison, PG,2017-2018,0.03887689
6240,Houston Rockets,96406.0,Tim Quarterman, G,2017-2018,0.030237581
6241,Dallas Mavericks,91442.0,Aaron Harrison, G,2017-2018,0.028077754
6248,Toronto Raptors,55296.0,Nigel Hayes, F,2017-2018,0.012958963
6252,Los Angeles Lakers,13824.0,Andre Ingram, G,2017-2018,0.004319654
6253,Orlando Magic,4608.0,Amile Jefferson, PF,2017-2018,0.002159827
6254,Houston Rockets,4608.0,Aaron Jackson, F,2017-2018,0.0
