Team,Salary,Player,Position,Season,Percentile
Philadelphia 76ers,490180,Brandon Davies, PF,2013-2014,0.093506494
Charlotte Bobcats,490180,James Southerland, SF,2013-2014,0.090909091
Los Angeles Lakers,490180,Ryan Kelly, PF,2013-2014,0.088311688
Phoenix Suns,306037,Shavlik Randolph, PF,2013-2014,0.067532468
Philadelphia 76ers,171696,Jarvis Varnado, PF,2013-2014,0.049350649
Houston Rockets,158588,Troy Daniels, SG,2013-2014,0.046753247
Charlotte Bobcats,104028,D.J. White, PF,2013-2014,0.038961039
Charlotte Bobcats,98036,Justin Hamilton, C,2013-2014,0.036363636
Chicago Bulls,57627,Mike James, PG,2013-2014,0.025974026
New Orleans Pelicans,29788,Melvin Ely, C,2013-2014,0.01038961
Toronto Raptors,5831326,Patrick Patterson, PF,2014-2015,0.793103448
Minnesota Timberwolves,5563920,Anthony Bennett, PF,2014-2015,0.783908046
Portland Trail Blazers,7245640,Wesley Matthews, SG,2014-2015,0.76091954
Washington Wizards,5305000,Paul Pierce, SF,2014-2015,0.717241379
Orlando Magic,4978200,Victor Oladipo, SG,2014-2015,0.696551724
Sacramento Kings,4797664,Darren Collison, PG,2014-2015,0.685057471
Washington Wizards,4470480,Otto Porter Jr., SF,2014-2015,0.662068966
Indiana Pacers,4000000,Ian Mahinmi, C,2014-2015,0.634482759
Phoenix Suns,3649920,Alex Len, C,2014-2015,0.604597701
Portland Trail Blazers,3340920,Damian Lillard, PG,2014-2015,0.586206897
Philadelphia 76ers,3315120,Nerlens Noel, PF,2014-2015,0.574712644
Boston Celtics,3278000,Evan Turner, SG,2014-2015,0.565517241
Phoenix Suns,3000000,Anthony Tolliver, PF,2014-2015,0.526436782
Phoenix Suns,2989239,Markieff Morris, PF,2014-2015,0.52183908
Orlando Magic,2750000,Luke Ridnour, PG,2014-2015,0.501149425
Utah Jazz,2548560,Trey Burke, PG,2014-2015,0.482758621
Portland Trail Blazers,2421000,CJ McCollum, SG,2014-2015,0.468965517
Philadelphia 76ers,2300040,Michael Carter-Williams, PG,2014-2015,0.459770115
Boston Celtics,2075760,Kelly Olynyk, PF,2014-2015,0.427586207
Minnesota Timberwolves,1971960,Shabazz Muhammad, F,2014-2015,0.404597701
Milwaukee Bucks,1873200,Giannis Antetokounmpo, PF,2014-2015,0.397701149
Utah Jazz,1794871,Jeremy Evans, F,2014-2015,0.388505747
Sacramento Kings,1768653,Reggie Evans, C,2014-2015,0.383908046
Toronto Raptors,1762680,Lucas Nogueira, C,2014-2015,0.381609195
Detroit Pistons,1750000,Luigi Datome, SF,2014-2015,0.377011494
Atlanta Hawks,1690680,Dennis Schroder, PG,2014-2015,0.370114943
New York Knicks,1606080,Shane Larkin, G,2014-2015,0.35862069
Brooklyn Nets,1533840,Sergey Karasev, SG,2014-2015,0.351724138
Chicago Bulls,1472400,Tony Snell, SG,2014-2015,0.337931034
Minnesota Timberwolves,1413480,Gorgui Dieng, C,2014-2015,0.32183908
Brooklyn Nets,1357080,Mason Plumlee, PF,2014-2015,0.314942529
Indiana Pacers,1302840,Solomon Hill, SF,2014-2015,0.301149425
Atlanta Hawks,1250000,Pero Antic, PF,2014-2015,0.289655172
Phoenix Suns,1200720,Reggie Bullock, SG,2014-2015,0.275862069
Oklahoma City Thunder,1160880,Andre Roberson, SG,2014-2015,0.268965517
Phoenix Suns,1112280,Archie Goodwin, SG,2014-2015,0.245977011
Golden State Warriors,1104240,Nemanja Nedovic, PG,2014-2015,0.24137931
Indiana Pacers,1100000,Damjan Rudez, SF,2014-2015,0.23908046
Dallas Mavericks,909859,J.J. Barea, PG,2014-2015,0.183908046
Orlando Magic,884879,Devyn Marble, SF,2014-2015,0.181609195
Philadelphia 76ers,884879,Jerami Grant, SF,2014-2015,0.179310345
Cleveland Cavaliers,884879,Joe Harris, SF,2014-2015,0.177011494
Oklahoma City Thunder,861405,Ish Smith, PG,2014-2015,0.170114943
Washington Wizards,816482,Glen Rice Jr., SG,2014-2015,0.163218391
Sacramento Kings,816482,Ray McCallum, PG,2014-2015,0.156321839
Minnesota Timberwolves,742962,Jeff Adrien, SF,2014-2015,0.135632184
Philadelphia 76ers,710659,Malcolm Lee, SG,2014-2015,0.128735632
Brooklyn Nets,702756,Darius Morris, G,2014-2015,0.126436782
Philadelphia 76ers,635827,Malcolm Thomas, PF,2014-2015,0.12183908
New Orleans Pelicans,633974,Gal Mekel, PG,2014-2015,0.11954023
Milwaukee Bucks,600000,Johnny O'Bryant III, PF,2014-2015,0.117241379
Brooklyn Nets,507336,Cory Jefferson, F,2014-2015,0.114942529
Orlando Magic,507336,Keith Appling, PG,2014-2015,0.112643678
Utah Jazz,507336,Eric Griffin, C,2014-2015,0.110344828
Utah Jazz,507336,Joe Ingles, SF,2014-2015,0.108045977
Memphis Grizzlies,507336,Russ Smith, PG,2014-2015,0.105747126
Sacramento Kings,507336,Eric Moreland, C,2014-2015,0.103448276
Sacramento Kings,507336,Sim Bhullar, C,2014-2015,0.101149425
Philadelphia 76ers,507336,JaKarr Sampson, F,2014-2015,0.098850575
New York Knicks,507336,Travis Wear, F,2014-2015,0.096551724
New Orleans Pelicans,507336,Patric Young, PF,2014-2015,0.094252874
Cleveland Cavaliers,495399,Will Cherry, F,2014-2015,0.091954023
Memphis Grizzlies,486446,Kalin Lucas, G,2014-2015,0.089655172
LA Clippers,387632,Dahntay Jones, SG,2014-2015,0.07816092
Utah Jazz,379010,Patrick Christopher, SG,2014-2015,0.075862069
New York Knicks,306876,Amar'e Stoudemire, C,2014-2015,0.068965517
Detroit Pistons,269189,John Lucas III, PG,2014-2015,0.062068966
Utah Jazz,241731,Elijah Millsap, SG,2014-2015,0.059770115
Dallas Mavericks,236886,Bernard James, C,2014-2015,0.057471264
New York Knicks,235762,Langston Galloway, SG,2014-2015,0.055172414
Phoenix Suns,183049,Earl Barron, C,2014-2015,0.043678161
LA Clippers,150591,Jordan Hamilton, SG,2014-2015,0.03908046
Brooklyn Nets,96056,Jorge Gutierrez, PG,2014-2015,0.027586207
Washington Wizards,96056,Toure' Murry, SF,2014-2015,0.025287356
Utah Jazz,92514,Bryce Cotton, G,2014-2015,0.022988506
Los Angeles Lakers,59686,Jabari Brown, SG,2014-2015,0.020689655
Utah Jazz,59686,Jack Cooley, F,2014-2015,0.018390805
Memphis Grizzlies,53838,Tyrus Thomas, PF,2014-2015,0.013793103
San Antonio Spurs,53838,Austin Daye, SF,2014-2015,0.009195402
New York Knicks,48028,Ricky Ledo, SG,2014-2015,0.004597701
Miami Heat,29843,Andre Dawkins, SG,2014-2015,0.002298851
Atlanta Hawks,5746479,Kyle Korver, SG,2015-2016,0.775981524
Oklahoma City Thunder,5138430,Dion Waiters, SG,2015-2016,0.690531178
Philadelphia 76ers,4626960,Joel Embiid, C,2015-2016,0.662817552
Orlando Magic,4171680,Aaron Gordon, PF,2015-2016,0.632794457
Dallas Mavericks,3950313,Raymond Felton, PG,2015-2016,0.609699769
Oklahoma City Thunder,3750000,Nick Collison, F,2015-2016,0.595842956
New York Knicks,3750000,Kyle O'Quinn, C,2015-2016,0.593533487
Brooklyn Nets,3425510,Bojan Bogdanovic, SF,2015-2016,0.572748268
Detroit Pistons,3272091,Andre Drummond, C,2015-2016,0.556581986
LA Clippers,3110796,Austin Rivers, PG,2015-2016,0.545034642
Milwaukee Bucks,2943221,John Henson, F,2015-2016,0.526558891
New Orleans Pelicans,2850000,Dante Cunningham, SF,2015-2016,0.505773672
Boston Celtics,2616975,Tyler Zeller, C,2015-2016,0.480369515
Houston Rockets,2489530,Terrence Jones, PF,2015-2016,0.464203233
Chicago Bulls,2380440,Doug McDermott, SF,2015-2016,0.452655889
Chicago Bulls,2250000,Aaron Brooks, G,2015-2016,0.441108545
Charlotte Hornets,2139000,Jeremy Lin, PG,2015-2016,0.418013857
New Orleans Pelicans,2038206,Perry Jones, SF,2015-2016,0.399538106
Minnesota Timberwolves,1938840,Adreian Payne, PF,2015-2016,0.385681293
Denver Nuggets,1842000,Jusuf Nurkic, C,2015-2016,0.378752887
Boston Celtics,1749840,James Young, G,2015-2016,0.37182448
Milwaukee Bucks,1662360,Tyler Ennis, G,2015-2016,0.360277136
Denver Nuggets,1584480,Gary Harris, SG,2015-2016,0.348729792
Toronto Raptors,1524000,Bruno Caboclo, F,2015-2016,0.341801386
Sacramento Kings,1449187,Caron Butler, SF,2015-2016,0.325635104
Memphis Grizzlies,1404600,Jordan Adams, SG,2015-2016,0.318706697
Utah Jazz,1348440,Rodney Hood, SG,2015-2016,0.309468822
Atlanta Hawks,1304520,Tim Hardaway Jr., G,2015-2016,0.302540416
Orlando Magic,1294440,Shabazz Napier, PG,2015-2016,0.297921478
Minnesota Timberwolves,1282080,Tyus Jones, PG,2015-2016,0.295612009
Houston Rockets,1242720,Clint Capela, C,2015-2016,0.284064665
Charlotte Hornets,1201440,P.J. Hairston, SF,2015-2016,0.277136259
Utah Jazz,1175880,Rudy Gobert, C,2015-2016,0.267898383
LA Clippers,1159680,CJ Wilcox, G,2015-2016,0.258660508
Minnesota Timberwolves,1149500,Damjan Rudez, SF,2015-2016,0.251732102
Boston Celtics,1148640,R.J. Hunter, G,2015-2016,0.249422633
San Antonio Spurs,1142880,Kyle Anderson, SF,2015-2016,0.244803695
Oklahoma City Thunder,1140240,Josh Huestis, F,2015-2016,0.242494226
Brooklyn Nets,1140240,Chris McCullough, F,2015-2016,0.240184758
Dallas Mavericks,1100602,Jeremy Evans, F,2015-2016,0.226327945
Indiana Pacers,1100000,Glenn Robinson III, SG,2015-2016,0.224018476
Chicago Bulls,1015421,E'Twaun Moore, G,2015-2016,0.212471132
Indiana Pacers,1007026,Rakeem Christmas, PF,2015-2016,0.210161663
Philadelphia 76ers,1000000,Robert Covington, SF,2015-2016,0.203233256
Houston Rockets,1000000,Montrezl Harrell, PF,2015-2016,0.200923788
Atlanta Hawks,947276,Jason Richardson, SG,2015-2016,0.152424942
Memphis Grizzlies,700902,Bryce Cotton, G,2015-2016,0.113163972
Los Angeles Lakers,700000,Anthony Brown, F,2015-2016,0.110854503
Toronto Raptors,650000,Norman Powell, SF,2015-2016,0.108545035
Portland Trail Blazers,625093,Pat Connaughton, SG,2015-2016,0.106235566
Detroit Pistons,600000,Darrun Hilliard, G,2015-2016,0.103926097
Washington Wizards,561716,Jarell Eddie, F,2015-2016,0.101616628
Phoenix Suns,525093,Deonte Burton, PG,2015-2016,0.099307159
Phoenix Suns,525093,Kyle Casey, SF,2015-2016,0.096997691
Philadelphia 76ers,525093,T.J. McConnell, PG,2015-2016,0.094688222
Philadelphia 76ers,525093,Scottie Wilbekin, PG,2015-2016,0.092378753
Utah Jazz,525093,J.J. O'Brien, SF,2015-2016,0.090069284
Brooklyn Nets,525093,Treveon Graham, SG,2015-2016,0.087759815
Orlando Magic,525093,Melvin Ejim, SF,2015-2016,0.085450346
Toronto Raptors,525093,Ronald Roberts Jr., PF,2015-2016,0.080831409
Memphis Grizzlies,525093,Jarrid Famous, PF,2015-2016,0.07852194
Los Angeles Lakers,525093,Jamil Wilson, SF,2015-2016,0.076212471
Sacramento Kings,525093,Duje Dukan, PF,2015-2016,0.073903002
Boston Celtics,525093,Jonathan Holmes, PF,2015-2016,0.071593533
San Antonio Spurs,200600,Kevin Martin, SG,2015-2016,0.036951501
Charlotte Hornets,189455,Jorge Gutierrez, PG,2015-2016,0.032332564
Philadelphia 76ers,167406,Tony Wroten, SG,2015-2016,0.027713626
LA Clippers,111444,Jeff Ayres, F,2015-2016,0.020785219
Phoenix Suns,111196,Jordan McRae, SG,2015-2016,0.018475751
Utah Jazz,99418,Erick Green, PG,2015-2016,0.016166282
Memphis Grizzlies,55722,Elliot Williams, SG,2015-2016,0.006928406
Phoenix Suns,49709,Cory Jefferson, F,2015-2016,0.002309469
Sacramento Kings,12500000,Arron Afflalo, G,2016-2017,0.857142857
Oklahoma City Thunder,8400000,Ersan Ilyasova, PF,2016-2017,0.803030303
New York Knicks,6191000,Lance Thomas, SF,2016-2017,0.686147186
Detroit Pistons,6000000,Ish Smith, PG,2016-2017,0.668831169
Minnesota Timberwolves,5960160,Karl-Anthony Towns, C,2016-2017,0.664502165
Toronto Raptors,5300000,PJ Tucker, SF,2016-2017,0.632034632
Philadelphia 76ers,4788840,Jahlil Okafor, C,2016-2017,0.603896104
New York Knicks,4317720,Kristaps Porzingis, PF,2016-2017,0.584415584
Orlando Magic,3909840,Mario Hezonja, SF,2016-2017,0.556277056
LA Clippers,3527920,Paul Pierce, SF,2016-2017,0.528138528
Portland Trail Blazers,3219579,CJ McCollum, SG,2016-2017,0.504329004
Detroit Pistons,2969880,Stanley Johnson, SF,2016-2017,0.480519481
Miami Heat,2898000,Dion Waiters, SG,2016-2017,0.476190476
San Antonio Spurs,2898000,Dewayne Dedmon, C,2016-2017,0.46969697
Atlanta Hawks,2708582,Dennis Schroder, PG,2016-2017,0.461038961
Miami Heat,2593440,Justise Winslow, SF,2016-2017,0.452380952
Brooklyn Nets,2500000,Randy Foye, SG,2016-2017,0.448051948
Indiana Pacers,2463840,Myles Turner, C,2016-2017,0.441558442
Portland Trail Blazers,2328530,Mason Plumlee, PF,2016-2017,0.428571429
Philadelphia 76ers,2318280,Dario Saric, PF,2016-2017,0.426406926
LA Clippers,2203000,Luc Mbah a Moute, PF,2016-2017,0.413419913
Oklahoma City Thunder,2112480,Cameron Payne, PG,2016-2017,0.398268398
Washington Wizards,2006640,Kelly Oubre Jr., SF,2016-2017,0.387445887
Indiana Pacers,1800000,Kevin Seraphin, C,2016-2017,0.372294372
Oklahoma City Thunder,1709719,Joffrey Lauvergne, F,2016-2017,0.361471861
Chicago Bulls,1643040,Jerian Grant, PG,2016-2017,0.354978355
Toronto Raptors,1577280,Delon Wright, PG,2016-2017,0.348484848
Philadelphia 76ers,1514160,Justin Anderson, SG,2016-2017,0.337662338
Los Angeles Lakers,1500000,Marcelo Huertas, PG,2016-2017,0.335497835
Chicago Bulls,1453680,Bobby Portis, PF,2016-2017,0.329004329
Boston Celtics,1450000,Demetrius Jackson, PG,2016-2017,0.326839827
Brooklyn Nets,1395600,Rondae Hollis-Jefferson, SF,2016-2017,0.313852814
Portland Trail Blazers,1350120,Shabazz Napier, PG,2016-2017,0.307359307
New York Knicks,1350000,Willy Hernangomez, C,2016-2017,0.305194805
Philadelphia 76ers,1333240,Sasha Kaun, C,2016-2017,0.298701299
Memphis Grizzlies,1286160,Jarell Martin, PF,2016-2017,0.292207792
Los Angeles Lakers,1207680,Larry Nance Jr., PF,2016-2017,0.279220779
Washington Wizards,1191480,Chris McCullough, F,2016-2017,0.270562771
San Antonio Spurs,1188840,Livio Jean-Charles, SF,2016-2017,0.268398268
Golden State Warriors,1182840,Kevon Looney, SF,2016-2017,0.264069264
San Antonio Spurs,1180080,Dejounte Murray, PG,2016-2017,0.261904762
Golden State Warriors,1171560,Damian Jones, C,2016-2017,0.25974026
Houston Rockets,1045000,Montrezl Harrell, PF,2016-2017,0.242424242
Brooklyn Nets,1015696,Anthony Bennett, PF,2016-2017,0.227272727
Atlanta Hawks,980431,Will Bynum, PG,2016-2017,0.196969697
Orlando Magic,950000,Stephen Zimmerman, C,2016-2017,0.194805195
Utah Jazz,937800,Raul Neto, PG,2016-2017,0.19047619
Milwaukee Bucks,925000,Malcolm Brogdon, PG,2016-2017,0.188311688
New Orleans Pelicans,895197,Reggie Williams, SF,2016-2017,0.183982684
Milwaukee Bucks,874636,Xavier Munford, G,2016-2017,0.181818182
Toronto Raptors,874636,Norman Powell, SF,2016-2017,0.173160173
Sacramento Kings,874636,Duje Dukan, PF,2016-2017,0.16017316
Chicago Bulls,864346,R.J. Hunter, G,2016-2017,0.155844156
Houston Rockets,680534,Bobby Brown, PG,2016-2017,0.149350649
Dallas Mavericks,650000,AJ Hammons, C,2016-2017,0.147186147
Indiana Pacers,650000,Georges Niang, SF,2016-2017,0.145021645
Detroit Pistons,650000,Michael Gbinije, SG,2016-2017,0.142857143
Portland Trail Blazers,600000,Jake Layman, SF,2016-2017,0.140692641
New Orleans Pelicans,576724,Donatas Motiejunas, PF,2016-2017,0.136363636
Toronto Raptors,543471,E.J. Singler, SF,2016-2017,0.134199134
Toronto Raptors,543471,Drew Crawford, SG,2016-2017,0.132034632
Cleveland Cavaliers,543471,Kay Felder, G,2016-2017,0.12987013
Toronto Raptors,543471,Fred VanVleet, PG,2016-2017,0.127705628
Toronto Raptors,543471,Yanick Moreira, C,2016-2017,0.125541126
Houston Rockets,543471,Kyle Wiltjer, F,2016-2017,0.123376623
Toronto Raptors,543471,Kyle Collinsworth, G,2016-2017,0.121212121
Toronto Raptors,543471,Brady Heslip, SG,2016-2017,0.119047619
Memphis Grizzlies,543471,Vince Hunter, SF,2016-2017,0.116883117
Charlotte Hornets,543471,Andrew Andrews, G,2016-2017,0.114718615
Charlotte Hornets,543471,Marcus Paige, G,2016-2017,0.112554113
Charlotte Hornets,543471,Rasheed Sulaimon, G,2016-2017,0.11038961
Utah Jazz,543471,Isaiah Cousins, G,2016-2017,0.108225108
New Orleans Pelicans,543471,Quincy Ford, SG,2016-2017,0.106060606
Indiana Pacers,543471,Nick Zeisloft, SG,2016-2017,0.103896104
Boston Celtics,543471,Jonathan Holmes, PF,2016-2017,0.0995671
Washington Wizards,543471,Sheldon Mac, SG,2016-2017,0.097402597
Dallas Mavericks,259526,Deron Williams, PG,2016-2017,0.084415584
Sacramento Kings,242224,Matt Barnes, SF,2016-2017,0.071428571
Miami Heat,210995,Okaro White, F,2016-2017,0.069264069
Charlotte Hornets,161483,Johnny O'Bryant III, PF,2016-2017,0.060606061
Sacramento Kings,138414,Omri Casspi, SF,2016-2017,0.056277056
Dallas Mavericks,115344,Manny Harris, PG,2016-2017,0.045454545
Philadelphia 76ers,89513,Shawn Long, F,2016-2017,0.043290043
Memphis Grizzlies,83119,Wayne Selden, SG,2016-2017,0.041125541
Brooklyn Nets,75000,Archie Goodwin, SG,2016-2017,0.036796537
Los Angeles Lakers,73528,David Nwaba, SG,2016-2017,0.034632035
New Orleans Pelicans,57672,Jarrett Jack, G,2016-2017,0.021645022
Dallas Mavericks,47953,Jarrod Uthoff, SF,2016-2017,0.019480519
Philadelphia 76ers,35166,Alex Poythress, SF,2016-2017,0.017316017
Milwaukee Bucks,35116,Gary Payton II, G,2016-2017,0.015151515
Dallas Mavericks,31969,Pierre Jackson, PG,2016-2017,0.012987013
Orlando Magic,31969,Patricio Garino, SG,2016-2017,0.010822511
Phoenix Suns,23069,Elijah Millsap, SG,2016-2017,0.006493506
Dallas Mavericks,15984,Quinn Cook, PG,2016-2017,0.004329004
Denver Nuggets,12016854,Wilson Chandler, SF,2017-2018,0.740820734
Toronto Raptors,9367200,Norman Powell, SF,2017-2018,0.73650108
Memphis Grizzlies,8533333,JaMychal Green, PF,2017-2018,0.719222462
Sacramento Kings,8393000,Kosta Koufos, C,2017-2018,0.710583153
Portland Trail Blazers,6352531,Ed Davis, PF,2017-2018,0.639308855
Orlando Magic,6000000,Shelvin Mack, PG,2017-2018,0.626349892
New York Knicks,5697054,Kristaps Porzingis, PF,2017-2018,0.613390929
Golden State Warriors,5192000,Nick Young, G,2017-2018,0.591792657
Utah Jazz,4992385,Dante Exum, PG,2017-2018,0.580993521
Oklahoma City Thunder,4666500,Kyle Singler, F,2017-2018,0.570194384
Sacramento Kings,4609200,De'Aaron Fox, PG,2017-2018,0.568034557
New York Knicks,4544000,Ron Baker, SG,2017-2018,0.56587473
Phoenix Suns,4187599,Alex Len, C,2017-2018,0.544276458
Miami Heat,3448926,Justise Winslow, SF,2017-2018,0.501079914
Houston Rockets,3290000,Tarik Black, C,2017-2018,0.479481641
Chicago Bulls,3263294,Cameron Payne, PG,2017-2018,0.475161987
Phoenix Suns,3073800,Marquese Chriss, PF,2017-2018,0.464362851
Philadelphia 76ers,3000000,Tibor Pleiss, C,2017-2018,0.451403888
Milwaukee Bucks,2799720,Thon Maker, PF,2017-2018,0.442764579
Chicago Bulls,2639314,Jerian Grant, PG,2017-2018,0.436285097
Toronto Raptors,2536898,Delon Wright, PG,2017-2018,0.429805616
Denver Nuggets,2441400,Trey Lyles, PF,2017-2018,0.406047516
Indiana Pacers,2407560,T.J. Leaf, PF,2017-2018,0.403887689
Phoenix Suns,2319360,Devin Booker, SG,2017-2018,0.39524838
Los Angeles Lakers,2272391,Larry Nance Jr., PF,2017-2018,0.388768898
Minnesota Timberwolves,2247480,Justin Patton, C,2017-2018,0.386609071
San Antonio Spurs,2151704,Kyle Anderson, SF,2017-2018,0.377969762
Milwaukee Bucks,2048257,Kendall Marshall, PG,2017-2018,0.369330454
Toronto Raptors,2034120,OG Anunoby, SF,2017-2018,0.367170626
Indiana Pacers,1974159,Kevin Seraphin, C,2017-2018,0.360691145
Orlando Magic,1889040,Rashad Vaughn, G,2017-2018,0.354211663
LA Clippers,1794600,Sam Dekker, SF,2017-2018,0.345572354
Oklahoma City Thunder,1785000,Terrance Ferguson, SG,2017-2018,0.343412527
Brooklyn Nets,1656092,Spencer Dinwiddie, PG,2017-2018,0.334773218
Detroit Pistons,1600520,Dwight Buycks, G,2017-2018,0.326133909
Portland Trail Blazers,1577230,Archie Goodwin, SG,2017-2018,0.319654428
Atlanta Hawks,1471382,Jeremy Evans, F,2017-2018,0.269978402
Denver Nuggets,1454756,Richard Jefferson, F,2017-2018,0.26349892
Los Angeles Lakers,1423560,Kyle Kuzma, PF,2017-2018,0.261339093
Utah Jazz,1414920,Tony Bradley, C,2017-2018,0.259179266
San Antonio Spurs,1404600,Derrick White, PG,2017-2018,0.257019438
New Orleans Pelicans,1379940,Josh Smith, PF,2017-2018,0.250539957
Orlando Magic,1378242,Khem Birch, C,2017-2018,0.24838013
Orlando Magic,1378242,Wesley Iwundu, SF,2017-2018,0.246220302
Milwaukee Bucks,1378242,Sterling Brown, SG,2017-2018,0.244060475
Charlotte Hornets,1378242,Dwayne Bacon, SG,2017-2018,0.241900648
New York Knicks,1378242,Damyean Dotson, SG,2017-2018,0.239740821
Indiana Pacers,1378242,Alex Poythress, SF,2017-2018,0.235421166
Toronto Raptors,1312611,Kyle Wiltjer, F,2017-2018,0.218142549
Washington Wizards,1312611,Carrick Felix, SG,2017-2018,0.211663067
Milwaukee Bucks,1300000,Khris Middleton, SF,2017-2018,0.200863931
San Antonio Spurs,1188840,Livio Jean-Charles, SF,2017-2018,0.196544276
Sacramento Kings,1184385,Frank Mason III, PG,2017-2018,0.194384449
LA Clippers,980431,Devyn Marble, SF,2017-2018,0.172786177
Atlanta Hawks,980431,Will Bynum, PG,2017-2018,0.153347732
Memphis Grizzlies,950000,Ivan Rabb, PF,2017-2018,0.151187905
Milwaukee Bucks,874636,Christian Wood, PF,2017-2018,0.140388769
Washington Wizards,874636,Jordan McRae, SG,2017-2018,0.133909287
Houston Rockets,872854,Gerald Green, SG,2017-2018,0.127429806
Memphis Grizzlies,815615,Xavier Rathan-Mayes, SG,2017-2018,0.125269978
Memphis Grizzlies,815615,Dillon Brooks, SG,2017-2018,0.123110151
Oklahoma City Thunder,815615,Dakari Johnson, C,2017-2018,0.120950324
Milwaukee Bucks,815615,JeQuan Lewis, PG,2017-2018,0.118790497
Minnesota Timberwolves,815615,Melo Trimble, PG,2017-2018,0.11663067
Oklahoma City Thunder,815615,Rashawn Thomas, PF,2017-2018,0.114470842
Oklahoma City Thunder,815615,Bryce Alford, G,2017-2018,0.112311015
Charlotte Hornets,815615,Luke Petrasek, SF,2017-2018,0.110151188
Charlotte Hornets,815615,T.J. Williams, PG,2017-2018,0.107991361
Charlotte Hornets,815615,Terry Henderson, SG,2017-2018,0.105831533
Utah Jazz,815615,Erik McCree, F,2017-2018,0.103671706
Utah Jazz,815615,Royce O'Neale, SF,2017-2018,0.101511879
Boston Celtics,815615,Daniel Theis, PF,2017-2018,0.099352052
Boston Celtics,815615,L.J. Peak, SG,2017-2018,0.097192225
Atlanta Hawks,815615,Jordan Mathews, SG,2017-2018,0.095032397
Milwaukee Bucks,588120,DeAndre Liggins, G,2017-2018,0.088552916
Golden State Warriors,543471,Elgin Cook, SF,2017-2018,0.086393089
Golden State Warriors,543471,Scott Wood, SG,2017-2018,0.084233261
Charlotte Hornets,543471,Rasheed Sulaimon, G,2017-2018,0.073434125
Utah Jazz,543471,Isaiah Cousins, G,2017-2018,0.069114471
New York Knicks,543471,J.P. Tokoto, SG,2017-2018,0.066954644
Detroit Pistons,543471,Nikola Jovanovic, PF,2017-2018,0.064794816
Memphis Grizzlies,379159,Toney Douglas, PG,2017-2018,0.05399568
Sacramento Kings,185397,Georgios Papagiannis, C,2017-2018,0.041036717
Dallas Mavericks,115344,Manny Harris, PG,2017-2018,0.032397408
Houston Rockets,96406,Tim Quarterman, G,2017-2018,0.030237581
Denver Nuggets,57672,Alonzo Gee, SF,2017-2018,0.01511879
Dallas Mavericks,31969,Pierre Jackson, PG,2017-2018,0.006479482
Los Angeles Lakers,13824,Andre Ingram, G,2017-2018,0.004319654
Orlando Magic,4608,Amile Jefferson, PF,2017-2018,0.002159827
Houston Rockets,4608,Aaron Jackson, F,2017-2018,0